Stock,Most Recent GP,2nd Most Recent GP,3rd Most Recent GP,4th Most Recent GP
AAPL,AAPL,54243000000.0,35174000000.0,35255000000.0,38079000000.0
MSFT,MSFT,34768000000.0,31671000000.0,32161000000.0,28661000000.0
GOOG,GOOG,42337000000.0,37497000000.0,35653000000.0,31211000000.0
AMZN,AMZN,54577000000.0,47882000000.0,48904000000.0,46115000000.0
TSLA,TSLA,4847000000.0,3660000000.0,2884000000.0,2215000000.0
BRK-A,BRK-A,49723000000.0,13163000000.0,36650000000.0,15327000000.0
FB,FB,27323000000.0,23239000000.0,23678000000.0,21040000000.0
UNH,UNH,17584000000.0,17233000000.0,17115000000.0,17720000000.0
NVDA,NVDA,4999000000.0,4631000000.0,4215000000.0,3629000000.0
JNJ,JNJ,16884000000.0,16106000000.0,15745000000.0,15285000000.0
V,V,6869000000.0,6367000000.0,5944000000.0,5550000000.0
WMT,WMT,37349000000.0,35502000000.0,35865000000.0,35038000000.0
PG,PG,10289000000.0,9973000000.0,9289000000.0,9187000000.0
JPM,JPM,30538000000.0,31174000000.0,32764000000.0,36422000000.0
XOM,XOM,28876000000.0,23652000000.0,20506000000.0,17011000000.0
MA,MA,5216000000.0,4985000000.0,4528000000.0,4155000000.0
CVX,CVX,18520000000.0,18718000000.0,15488000000.0,13508000000.0
HD,HD,11862000000.0,12563000000.0,13665000000.0,12742000000.0
BAC,BAC,22549000000.0,23390000000.0,23087000000.0,24681000000.0
KO,KO,5376000000.0,6065000000.0,6342000000.0,5515000000.0
ABBV,ABBV,10606000000.0,9998000000.0,9461000000.0,8818000000.0
PFE,PFE,14068000000.0,14163000000.0,11985000000.0,10410000000.0
LLY,LLY,5854300000.0,5342000000.0,5209900000.0,4927000000.0
COST,COST,6387000000.0,6411000000.0,7942000000.0,5862000000.0
AVGO,AVGO,5781000000.0,5487000000.0,5049000000.0,4911000000.0
PEP,PEP,13134000000.0,10804000000.0,10340000000.0,8151000000.0
TMO,TMO,5246000000.0,4651000000.0,4524000000.0,5217000000.0
VZ,VZ,19071000000.0,19387000000.0,19509000000.0,19345000000.0
DIS,DIS,7252000000.0,6193000000.0,5789000000.0,5831000000.0
MRK,MRK,9694000000.0,9752000000.0,8373000000.0,7643000000.0
CSCO,CSCO,8049000000.0,8053000000.0,8344000000.0,8185000000.0
ABT,ABT,7171000000.0,6505000000.0,5786000000.0,6056000000.0
CMCSA,CMCSA,20456000000.0,19903000000.0,19290000000.0,18286000000.0
ORCL,ORCL,8295000000.0,8201000000.0,7625000000.0,9105000000.0
NKE,NKE,5067000000.0,5213000000.0,5696000000.0,5658000000.0
ADBE,ADBE,3750000000.0,3603000000.0,3468000000.0,3391000000.0
DHR,DHR,5001000000.0,4376000000.0,4397000000.0,4282000000.0
INTC,INTC,11009000000.0,10746000000.0,11206000000.0,10854000000.0
MCD,MCD,3261000000.0,3431400000.0,3219500000.0,2668300000.0
WFC,WFC,21568000000.0,20233000000.0,21567000000.0,19580000000.0
CRM,CRM,5312000000.0,5019000000.0,4727000000.0,4408000000.0
UPS,UPS,6040000000.0,5763000000.0,6094000000.0,8970000000.0
BMY,BMY,9629000000.0,9430000000.0,9340000000.0,8649000000.0
TMUS,TMUS,11338000000.0,11456000000.0,11366000000.0,11386000000.0
TXN,TXN,3350000000.0,3152000000.0,3077000000.0,2797000000.0
PM,PM,5297000000.0,5526000000.0,5241000000.0,5311000000.0
RTX,RTX,3437000000.0,3128000000.0,3226000000.0,2734000000.0
QCOM,QCOM,6402000000.0,5399000000.0,4656000000.0,4503000000.0
MS,MS,12880000000.0,13140000000.0,13199000000.0,14076000000.0
UNP,UNP,3302000000.0,3263000000.0,3314000000.0,2868000000.0
