Stock,Most Recent income,2nd recent income,3rd recent income,4th recent income
AAPL,AAPL,34630000000.0,20551000000.0,21744000000.0,23630000000.0
MSFT,MSFT,18765000000.0,20505000000.0,16458000000.0,15457000000.0
GOOG,GOOG,20642000000.0,18936000000.0,18525000000.0,17930000000.0
AMZN,AMZN,14323000000.0,3156000000.0,7778000000.0,8107000000.0
TSLA,TSLA,1618000000.0,1142000000.0,438000000.0,270000000.0
BRK-A,BRK-A,10344000000.0,28094000000.0,11711000000.0,35835000000.0
FB,FB,10285000000.0,9194000000.0,10394000000.0,9497000000.0
UNH,UNH,4086000000.0,4266000000.0,4862000000.0,2212000000.0
NVDA,NVDA,2464000000.0,2374000000.0,1912000000.0,1457000000.0
JNJ,JNJ,4736000000.0,3667000000.0,6278000000.0,6197000000.0
V,V,3871000000.0,3503000000.0,2515000000.0,2951000000.0
WMT,WMT,3562000000.0,3105000000.0,4276000000.0,2730000000.0
PG,PG,4153000000.0,4042000000.0,2832000000.0,3204000000.0
JPM,JPM,9927000000.0,11229000000.0,11496000000.0,13851000000.0
XOM,XOM,8870000000.0,6750000000.0,4690000000.0,2730000000.0
MA,MA,2379000000.0,2414000000.0,2066000000.0,1828000000.0
CVX,CVX,5055000000.0,6111000000.0,3082000000.0,1377000000.0
HD,HD,4129000000.0,4807000000.0,4145000000.0,2857000000.0
BAC,BAC,6773000000.0,7260000000.0,8964000000.0,7560000000.0
KO,KO,2471000000.0,2641000000.0,2245000000.0,1456000000.0
ABBV,ABBV,4044000000.0,3158000000.0,751000000.0,3536000000.0
PFE,PFE,8146000000.0,5563000000.0,4877000000.0,594000000.0
LLY,LLY,1110100000.0,1390200000.0,1355300000.0,2116800000.0
COST,COST,1324000000.0,1670000000.0,1220000000.0,951000000.0
AVGO,AVGO,1914000000.0,1802000000.0,1417000000.0,1304000000.0
PEP,PEP,2224000000.0,2358000000.0,1714000000.0,1845000000.0
TMO,TMO,1658000000.0,1902000000.0,1828000000.0,2337000000.0
VZ,VZ,6407000000.0,5800000000.0,5245000000.0,4588000000.0
DIS,DIS,159000000.0,918000000.0,901000000.0,17000000.0
MRK,MRK,4567000000.0,1545000000.0,3179000000.0,-2094000000.0
CSCO,CSCO,2980000000.0,3009000000.0,2863000000.0,2545000000.0
ABT,ABT,2092000000.0,1184000000.0,1785000000.0,2151000000.0
CMCSA,CMCSA,4035000000.0,3738000000.0,3329000000.0,3380000000.0
ORCL,ORCL,-1247000000.0,2457000000.0,4032000000.0,5021000000.0
NKE,NKE,1337000000.0,1874000000.0,1509000000.0,1449000000.0
ADBE,ADBE,1233000000.0,1212000000.0,1116000000.0,1261000000.0
DHR,DHR,1747000000.0,1117000000.0,1744000000.0,1661000000.0
INTC,INTC,4623000000.0,6823000000.0,5061000000.0,3361000000.0
MCD,MCD,1638800000.0,2149900000.0,2219300000.0,1537200000.0
WFC,WFC,4787000000.0,5743000000.0,4256000000.0,2642000000.0
CRM,CRM,468000000.0,535000000.0,469000000.0,267000000.0
UPS,UPS,2329000000.0,2676000000.0,4792000000.0,-3347000000.0
BMY,BMY,2372000000.0,1546000000.0,1055000000.0,2021000000.0
TMUS,TMUS,422000000.0,691000000.0,978000000.0,933000000.0
TXN,TXN,2128000000.0,1938000000.0,1924000000.0,1745000000.0
PM,PM,2419000000.0,2166000000.0,2411000000.0,1971000000.0
RTX,RTX,1393000000.0,1032000000.0,753000000.0,135000000.0
QCOM,QCOM,3399000000.0,2798000000.0,2027000000.0,1762000000.0
MS,MS,3592000000.0,3584000000.0,3408000000.0,3982000000.0
UNP,UNP,1711000000.0,1673000000.0,1798000000.0,1341000000.0
