Stock,Most Recent Revenue,2nd Most Recent Revenue,3rd Most Recent Revenue,4th Most Recent Revenue
AAPL,AAPL,123945000000.0,83360000000.0,81434000000.0,89584000000.0
MSFT,MSFT,51728000000.0,45317000000.0,46152000000.0,41706000000.0
GOOG,GOOG,75325000000.0,65118000000.0,61880000000.0,55314000000.0
AMZN,AMZN,137412000000.0,110812000000.0,113080000000.0,108518000000.0
TSLA,TSLA,17719000000.0,13757000000.0,11958000000.0,10389000000.0
BRK-A,BRK-A,71798000000.0,70583000000.0,69114000000.0,64599000000.0
FB,FB,33671000000.0,29010000000.0,29077000000.0,26171000000.0
UNH,UNH,73743000000.0,72337000000.0,71321000000.0,70196000000.0
NVDA,NVDA,7643000000.0,7103000000.0,6507000000.0,5661000000.0
JNJ,JNJ,24804000000.0,23338000000.0,23312000000.0,22321000000.0
V,V,7059000000.0,6559000000.0,6130000000.0,5729000000.0
WMT,WMT,152871000000.0,140525000000.0,141048000000.0,138310000000.0
PG,PG,20953000000.0,20338000000.0,18946000000.0,18109000000.0
JPM,JPM,30538000000.0,31174000000.0,32764000000.0,36422000000.0
XOM,XOM,82885000000.0,72116000000.0,66306000000.0,57674000000.0
MA,MA,5216000000.0,4985000000.0,4528000000.0,4155000000.0
CVX,CVX,45861000000.0,42552000000.0,36117000000.0,31076000000.0
HD,HD,35719000000.0,36820000000.0,41118000000.0,37500000000.0
BAC,BAC,22549000000.0,23390000000.0,23087000000.0,24681000000.0
KO,KO,9464000000.0,10042000000.0,10129000000.0,9020000000.0
ABBV,ABBV,14886000000.0,14342000000.0,13959000000.0,13010000000.0
PFE,PFE,23635000000.0,24094000000.0,18977000000.0,14582000000.0
LLY,LLY,7999900000.0,6772800000.0,6740100000.0,6805600000.0
COST,COST,51904000000.0,50363000000.0,62675000000.0,45277000000.0
AVGO,AVGO,7706000000.0,7407000000.0,6778000000.0,6610000000.0
PEP,PEP,25248000000.0,20189000000.0,19217000000.0,14820000000.0
TMO,TMO,10702000000.0,9330000000.0,9273000000.0,9906000000.0
VZ,VZ,34067000000.0,32915000000.0,33764000000.0,32867000000.0
DIS,DIS,21819000000.0,18534000000.0,17022000000.0,15613000000.0
MRK,MRK,13521000000.0,13154000000.0,11402000000.0,10627000000.0
CSCO,CSCO,12720000000.0,12900000000.0,13126000000.0,12803000000.0
ABT,ABT,11468000000.0,10928000000.0,10223000000.0,10456000000.0
CMCSA,CMCSA,30336000000.0,30298000000.0,28546000000.0,27205000000.0
ORCL,ORCL,10513000000.0,10360000000.0,9728000000.0,11227000000.0
NKE,NKE,10871000000.0,11357000000.0,12248000000.0,12344000000.0
ADBE,ADBE,4262000000.0,4110000000.0,3935000000.0,3835000000.0
DHR,DHR,8148000000.0,7229000000.0,7218000000.0,6858000000.0
INTC,INTC,20528000000.0,19192000000.0,19631000000.0,19673000000.0
MCD,MCD,6009100000.0,6201300000.0,5887900000.0,5124600000.0
WFC,WFC,21568000000.0,20233000000.0,21567000000.0,19580000000.0
CRM,CRM,7326000000.0,6863000000.0,6340000000.0,5963000000.0
UPS,UPS,27771000000.0,23184000000.0,23424000000.0,22908000000.0
BMY,BMY,11985000000.0,11624000000.0,11703000000.0,11073000000.0
TMUS,TMUS,20785000000.0,19624000000.0,19950000000.0,19759000000.0
TXN,TXN,4832000000.0,4643000000.0,4580000000.0,4289000000.0
PM,PM,8104000000.0,8122000000.0,7594000000.0,7585000000.0
RTX,RTX,17044000000.0,16213000000.0,15880000000.0,15251000000.0
QCOM,QCOM,10705000000.0,9336000000.0,8060000000.0,7935000000.0
MS,MS,14524000000.0,14753000000.0,14759000000.0,15719000000.0
UNP,UNP,5733000000.0,5566000000.0,5504000000.0,5001000000.0
