Stock,Most Recent Before,Most Recent After,2nd Most Recent Before,2nd Most Recent After,3rd Most Recent Before,3rd Most Recent After,4th Most Recent Before,4th Most Recent After
AAPL,AAPL,159.0174102783203,170.11326599121094,152.15380859375,149.391357421875,146.15065002441406,144.3682098388672,132.79075622558594,132.69134521484375
MSFT,MSFT,287.89471435546875,296.0977478027344,308.9049377441406,321.91424560546875,284.88116455078125,284.5630187988281,259.8533935546875,252.5032501220703
GOOG,GOOG,2757.570068359375,2960.72998046875,2793.43994140625,2928.550048828125,2735.929931640625,2727.6298828125,2307.1201171875,2379.909912109375
AMZN,AMZN,2776.909912109375,3152.7900390625,3446.570068359375,3372.429931640625,3599.919921875,3327.590087890625,3471.31005859375,3467.419921875
TSLA,TSLA,977.2000122070312,1008.780029296875,937.4099731445312,829.0999755859375,865.7999877929688,894.0,657.6199951171875,644.780029296875
BRK-A,BRK-A,475879.0,486109.0,479345.0,476205.0,434000.0,435200.0,430160.0,431881.0
FB,FB,323.0,237.75999450683594,328.69000244140625,315.80999755859375,373.2799987792969,358.32000732421875,307.1000061035156,329.510009765625
UNH,UNH,534.8200073242188,534.0800170898438,461.15533447265625,461.6339111328125,417.7571716308594,425.41943359375,415.98895263671875,415.6423645019531
NVDA,NVDA,265.0648193359375,245.02825927734375,292.5243225097656,316.65728759765625,190.31069946289062,197.88714599609375,156.8904266357422,154.77188110351562
JNJ,JNJ,183.0800018310547,183.88999938964844,166.56082153320312,167.30604553222656,161.76522827148438,161.67637634277344,166.32469177246094,166.8055419921875
V,V,205.8151397705078,227.62966918945312,231.0367431640625,215.05091857910156,249.74169921875,245.77059936523438,228.4893798828125,232.0074920654297
WMT,WMT,138.3449249267578,137.45835876464844,142.0464630126953,140.8261260986328,149.5173797607422,147.92994689941406,140.28013610839844,140.2900390625
PG,PG,162.7369842529297,162.61000061035156,160.23106384277344,161.09620666503906,138.26693725585938,138.8075714111328,139.81021118164062,139.46617126464844
JPM,JPM,127.30000305175781,126.12000274658203,156.728271484375,150.156982421875,158.86314392089844,161.30035400390625,152.66419982910156,152.14437866210938
